var,units
ALD2,moles/s         
ALDX,moles/s         
CH4,moles/s         
CO,moles/s         
ETH,moles/s         
ETHA,moles/s         
ETOH,moles/s         
FORM,moles/s         
IOLE,moles/s         
ISOP,moles/s         
MEOH,moles/s         
NH3,moles/s         
NO,moles/s         
NO2,moles/s         
NVOL,moles/s         
OLE,moles/s         
PAR,moles/s         
SO2,moles/s         
SULF,moles/s         
TERP,moles/s         
TOL,moles/s         
UNR,moles/s         
XYL,moles/s         
PAL,g/s             
PCA,g/s             
PCL,g/s             
PEC,g/s             
PFE,g/s             
PH2O,g/s             
PK,g/s             
PMC,g/s             
PMG,g/s             
PMN,g/s             
PMOTHR,g/s             
PNA,g/s             
PNCOM,g/s             
PNH4,g/s             
PNO3,g/s             
POC,g/s             
PSI,g/s             
PSO4,g/s             
PTI,g/s             
