Var,SO2,NOx,CO,NH3,PMcoarse,PM25,BC,OC,PNO3,PSO4,CB05_ISOP,CB05_ETHA,CB05_PAR,CB05_XYL,CB05_ETH,CB05_OLE,CB05_IOLE,CB05_TOL,CB05_FORM,CB05_ALD2,CB05_ALDX,CB05_UNR,CB05_MEOH,CB05_ETOH
SO2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
CO,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
NH3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,
NO2,0,0.1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
NO,0,0.9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ISO,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
ETH,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,,
HC3,0,0,0,0,0,0,0,0,0,0,,,0.3,,,,,,,,,,,
HC5,0,0,0,0,0,0,0,0,0,0,,,0.5,,,,,,,,,,,
HC8,0,0,0,0,0,0,0,0,0,0,,,0.2,,,,,,,,,,,
XYL,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,
OL2,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,
OLT,0,0,0,0,0,0,0,0,0,0,,,,,,1,,,,,,,,
OLI,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,,,,
TOL,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,,,,
CSL,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,
HCHO,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,,,,
ALD,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,
KET,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,
ORA2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,,
CH3OH,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,
C2H5OH,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1
PM25I,0,0,0,0,0,0.2,-0.2,-0.2,-0.2,-0.2,,,,,,,,,,,,,,
PM25J,0,0,0,0,0,0.8,-0.8,-0.8,-0.8,-0.8,,,,,,,,,,,,,,
ECI,0,0,0,0,0,0,0.2,0,0,0,,,,,,,,,,,,,,
ECJ,0,0,0,0,0,0,0.8,0,0,0,,,,,,,,,,,,,,
ORGI,0,0,0,0,0,0,0,0.2,0,0,,,,,,,,,,,,,,
ORGJ,0,0,0,0,0,0,0,0.8,0,0,,,,,,,,,,,,,,
SO4I,0,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,,,,
SO4J,0,0,0,0,0,0,0,0,0,0.8,,,,,,,,,,,,,,
NO3I,0,0,0,0,0,0,0,0,0.2,0,,,,,,,,,,,,,,
NO3J,0,0,0,0,0,0,0,0,0.8,0,,,,,,,,,,,,,,
SO4C,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
NO3C,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ORGC,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
ECC,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PM_10,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,
